Model Name,Dataset Size,Translation X, Translation Y,Rotation,Scale,Shear X, Shear Y,Top-1 Accuracy,Top-5 Accuracy
clip_base,5000,0,0,0.0,1.0,0,0,0.6518,0.8904
clip_base,5000,25,0,0.0,1.0,0,0,0.6432,0.8864
clip_base,5000,0,25,0.0,1.0,0,0,0.6406,0.8858
clip_base,5000,-25,0,0.0,1.0,0,0,0.6408,0.8824
clip_base,5000,0,-25,0.0,1.0,0,0,0.6372,0.8884
clip_base,5000,50,0,0.0,1.0,0,0,0.6280,0.8764
clip_base,5000,0,50,0.0,1.0,0,0,0.6288,0.8694
clip_base,5000,-50,0,0.0,1.0,0,0,0.6322,0.8798
clip_base,5000,0,-50,0.0,1.0,0,0,0.6230,0.8754
clip_base,5000,0,0,30,1.0,0,0,0.5568,0.8278
clip_base,5000,0,0,60,1.0,0,0,0.4708,0.7458
clip_base,5000,0,0,90,1.0,0,0,0.5572,0.8300
clip_base,5000,0,0,120,1.0,0,0,0.3896,0.6714
clip_base,5000,0,0,150,1.0,0,0,0.3798,0.6628
clip_base,5000,0,0,180,1.0,0,0,0.4892,0.7842
clip_base,5000,0,0,210,1.0,0,0,0.3766,0.6580
clip_base,5000,0,0,240,1.0,0,0,0.3940,0.6866
clip_base,5000,0,0,270,1.0,0,0,0.5556,0.8332
clip_base,5000,0,0,300,1.0,0,0,0.4642,0.7470
clip_base,5000,0,0,330,1.0,0,0,0.5586,0.8264
clip_base,5000,0,0,0.0,0.5,0,0,0.5560,0.8260
clip_base,5000,0,0,0.0,1.5,0,0,0.5346,0.8124
clip_base,5000,0,0,0.0,2.0,0,0,0.4050,0.6754
clip_base,5000,0,0,0.0,1.0,25,0,0.5652,0.8304
clip_base,5000,0,0,0.0,1.0,0,25,0.5576,0.8264
clip_base,5000,0,0,0.0,1.0,-25,0,0.5670,0.8296
clip_base,5000,0,0,0.0,1.0,0,-25,0.5572,0.8292
clip_base,5000,0,0,0.0,1.0,50,0,0.3208,0.5786
clip_base,5000,0,0,0.0,1.0,0,50,0.3132,0.5776
clip_base,5000,0,0,0.0,1.0,-50,0,0.3150,0.5730
clip_base,5000,0,0,0.0,1.0,0,-50,0.3172,0.5738
siglip_base,5000,0,0,0.0,1.0,0,0,0.4866,0.7034
siglip_base,5000,25,0,0.0,1.0,0,0,0.4738,0.6972
siglip_base,5000,0,25,0.0,1.0,0,0,0.4786,0.6962
siglip_base,5000,-25,0,0.0,1.0,0,0,0.4722,0.6930
siglip_base,5000,0,-25,0.0,1.0,0,0,0.4792,0.6970
siglip_base,5000,50,0,0.0,1.0,0,0,0.4634,0.6862
siglip_base,5000,0,50,0.0,1.0,0,0,0.4558,0.6802
siglip_base,5000,-50,0,0.0,1.0,0,0,0.4650,0.6794
siglip_base,5000,0,-50,0.0,1.0,0,0,0.4544,0.6778
siglip_base,5000,0,0,30,1.0,0,0,0.4116,0.6284
siglip_base,5000,0,0,60,1.0,0,0,0.3334,0.5544
siglip_base,5000,0,0,90,1.0,0,0,0.3984,0.6184
siglip_base,5000,0,0,120,1.0,0,0,0.2870,0.4798
siglip_base,5000,0,0,150,1.0,0,0,0.2690,0.4770
siglip_base,5000,0,0,180,1.0,0,0,0.3564,0.5810
siglip_base,5000,0,0,210,1.0,0,0,0.2662,0.4720
siglip_base,5000,0,0,240,1.0,0,0,0.2782,0.4876
siglip_base,5000,0,0,270,1.0,0,0,0.3988,0.6220
siglip_base,5000,0,0,300,1.0,0,0,0.3396,0.5546
siglip_base,5000,0,0,330,1.0,0,0,0.4100,0.6322
siglip_base,5000,0,0,0.0,0.5,0,0,0.4250,0.6472
siglip_base,5000,0,0,0.0,1.5,0,0,0.3934,0.6146
siglip_base,5000,0,0,0.0,2.0,0,0,0.2890,0.4902
siglip_base,5000,0,0,0.0,1.0,25,0,0.4232,0.6408
siglip_base,5000,0,0,0.0,1.0,0,25,0.4006,0.6266
siglip_base,5000,0,0,0.0,1.0,-25,0,0.4154,0.6376
siglip_base,5000,0,0,0.0,1.0,0,-25,0.3978,0.6280
siglip_base,5000,0,0,0.0,1.0,50,0,0.2168,0.4106
siglip_base,5000,0,0,0.0,1.0,0,50,0.2398,0.4374
siglip_base,5000,0,0,0.0,1.0,-50,0,0.2238,0.4106
siglip_base,5000,0,0,0.0,1.0,0,-50,0.2334,0.4260
clip_large,5000,0,0,0.0,1.0,0,0,0.7202,0.9266
clip_large,5000,25,0,0.0,1.0,0,0,0.7126,0.9212
clip_large,5000,0,25,0.0,1.0,0,0,0.7108,0.9206
clip_large,5000,-25,0,0.0,1.0,0,0,0.7158,0.9168
clip_large,5000,0,-25,0.0,1.0,0,0,0.7204,0.9218
clip_large,5000,50,0,0.0,1.0,0,0,0.7080,0.9168
clip_large,5000,0,50,0.0,1.0,0,0,0.6994,0.9116
clip_large,5000,-50,0,0.0,1.0,0,0,0.7044,0.9146
clip_large,5000,0,-50,0.0,1.0,0,0,0.6900,0.9094
clip_large,5000,0,0,30,1.0,0,0,0.6576,0.8762
clip_large,5000,0,0,60,1.0,0,0,0.6114,0.8450
clip_large,5000,0,0,90,1.0,0,0,0.6714,0.8978
clip_large,5000,0,0,120,1.0,0,0,0.5498,0.7996
clip_large,5000,0,0,150,1.0,0,0,0.5312,0.7852
clip_large,5000,0,0,180,1.0,0,0,0.6252,0.8668
clip_large,5000,0,0,210,1.0,0,0,0.5310,0.7830
clip_large,5000,0,0,240,1.0,0,0,0.5490,0.7956
clip_large,5000,0,0,270,1.0,0,0,0.6700,0.8976
clip_large,5000,0,0,300,1.0,0,0,0.5976,0.8388
clip_large,5000,0,0,330,1.0,0,0,0.6602,0.8746
clip_large,5000,0,0,0.0,0.5,0,0,0.6576,0.8810
clip_large,5000,0,0,0.0,1.5,0,0,0.6452,0.8736
clip_large,5000,0,0,0.0,2.0,0,0,0.5402,0.7830
clip_large,5000,0,0,0.0,1.0,25,0,0.6654,0.8850
clip_large,5000,0,0,0.0,1.0,0,25,0.6540,0.8814
clip_large,5000,0,0,0.0,1.0,-25,0,0.6642,0.8820
clip_large,5000,0,0,0.0,1.0,0,-25,0.6544,0.8808
clip_large,5000,0,0,0.0,1.0,50,0,0.4634,0.7120
clip_large,5000,0,0,0.0,1.0,0,50,0.4640,0.7110
clip_large,5000,0,0,0.0,1.0,-50,0,0.4550,0.7100
clip_large,5000,0,0,0.0,1.0,0,-50,0.4628,0.7156
siglip_large,5000,0,0,0.0,1.0,0,0,0.2434,0.4102
siglip_large,5000,25,0,0.0,1.0,0,0,0.2376,0.4072
siglip_large,5000,0,25,0.0,1.0,0,0,0.2412,0.4116
